activity_id,lead_id,activity_type,occurred_at
act_001,lead_001,page_view,2026-01-04 09:11:00
act_002,lead_001,content_download,2026-01-05 12:00:00
act_003,lead_001,demo_booked,2026-01-15 16:00:00
act_004,lead_001,opp_created,2026-02-02 11:30:00
act_005,lead_001,closed_won,2026-02-19 15:42:00
act_006,lead_002,content_download,2026-01-10 09:00:00
act_007,lead_002,demo_booked,2026-01-20 11:00:00
act_008,lead_002,opp_created,2026-03-22 10:00:00
act_009,lead_003,content_download,2026-01-14 13:00:00
act_010,lead_004,email_opened,2026-01-12 09:00:00
act_011,lead_004,demo_booked,2026-01-19 14:00:00
act_012,lead_004,opp_created,2026-02-10 10:00:00
act_013,lead_004,closed_won,2026-02-28 16:15:00
act_014,lead_005,content_download,2026-01-15 18:00:00
act_015,lead_005,demo_booked,2026-01-21 11:00:00
act_016,lead_005,opp_created,2026-02-09 14:00:00
act_017,lead_006,email_opened,2026-01-15 09:00:00
act_018,lead_006,demo_booked,2026-01-22 14:00:00
act_019,lead_006,opp_created,2026-02-05 11:00:00
act_020,lead_006,closed_lost,2026-03-01 09:30:00
act_021,lead_007,content_download,2026-01-19 09:00:00
act_022,lead_008,demo_booked,2026-01-23 13:00:00
act_023,lead_008,opp_created,2026-03-25 09:00:00
act_024,lead_009,demo_booked,2026-01-25 10:00:00
act_025,lead_009,opp_created,2026-02-15 12:30:00
act_026,lead_011,email_opened,2026-01-24 11:00:00
act_027,lead_011,demo_booked,2026-01-30 11:00:00
act_028,lead_011,opp_created,2026-02-17 14:00:00
act_029,lead_011,closed_won,2026-03-05 09:20:00
act_030,lead_012,demo_booked,2026-02-01 09:00:00
act_031,lead_012,opp_created,2026-03-12 14:00:00
act_032,lead_014,content_download,2026-01-29 11:30:00
act_033,lead_015,demo_booked,2026-02-05 14:00:00
act_034,lead_015,opp_created,2026-02-20 09:00:00
act_035,lead_016,content_download,2026-01-28 11:00:00
act_036,lead_016,demo_booked,2026-02-15 14:00:00
act_037,lead_016,opp_created,2026-03-01 10:00:00
act_038,lead_016,closed_won,2026-04-02 11:30:00
act_039,lead_018,demo_booked,2026-02-25 11:00:00
act_040,lead_018,opp_created,2026-03-08 11:00:00
act_041,lead_020,content_download,2026-02-02 14:00:00
act_042,lead_020,demo_booked,2026-02-10 10:00:00
act_043,lead_020,opp_created,2026-02-18 14:00:00
act_044,lead_020,closed_lost,2026-04-10 14:00:00
act_045,lead_021,content_download,2026-02-05 13:00:00
act_046,lead_021,demo_booked,2026-02-20 14:00:00
act_047,lead_023,email_opened,2026-02-08 09:00:00
act_048,lead_024,demo_booked,2026-03-01 13:00:00
act_049,lead_024,opp_created,2026-03-15 13:00:00
act_050,lead_025,demo_booked,2026-03-15 11:00:00
act_051,lead_025,opp_created,2026-04-01 11:00:00
